Subtopic,QuestionNumber,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
সমতলক্ষেত্রের ক্ষেত্রফল,20,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১৫ সেমি এবং ৯ সেমি, এবং উচ্চতা ৮ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",88,96,104,112,  B,ক্ষেত্রফল = ১/২ × (১৫ + ৯) × ৮ = ১/২ × ২৪ × ৮ = ৯৬ বর্গ সেমি। Option B সঠিক।,4
সমতলক্ষেত্রের ক্ষেত্রফল,21,একটি সমকোণী ত্রিভুজের সমকোণ সংলগ্ন বাহুগুলো ৬ সেমি এবং ৮ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,24,28,32,36,  A,ক্ষেত্রফল = ১/২ × ভূমি × উচ্চতা = ১/২ × ৬ × ৮ = ২৪ বর্গ সেমি। Option A সঠিক।,5
সমতলক্ষেত্রের ক্ষেত্রফল,22,একটি বৃত্তের অংশের কোণ ৯০° এবং ব্যাসার্ধ ১৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ২২/৭),150,154,158,162,  B,অংশের ক্ষেত্রফল = (কোণ/৩৬০°) × πr² = (৯০/৩৬০) × (২২/৭) × ১৪² = ১/৪ × ২২/৭ × ১৯৬ = ১৫৪ বর্গ সেমি। Option B সঠিক।,5
সমতলক্ষেত্রের ক্ষেত্রফল,23,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (১,১), (৫,১), এবং (৫,৪)। এর ক্ষেত্রফল কত বর্গ একক?",6,8,10,12,  A,"ভূমি = ৫ − ১ = ৪, উচ্চতা = ৪ − ১ = ৩। ক্ষেত্রফল = ১/২ × ৪ × ৩ = ৬ বর্গ একক। Option A সঠিক।",5
সমতলক্ষেত্রের ক্ষেত্রফল,24,একটি নিয়মিত ষড়ভুজের ক্ষেত্রফল ২৪√৩ বর্গ সেমি। এর বাহুর দৈর্ঘ্য কত সেমি?,3,4,5,6,  B,"ক্ষেত্রফল = (৩√৩/২) × বাহু²। তাই, ২৪√৩ = (৩√৩/২) × বাহু² ⇒ বাহু² = (২৪√৩ × ২) / (৩√৩) = ১৬ ⇒ বাহু = ৪ সেমি। Option B সঠিক।",5
সমতলক্ষেত্রের ক্ষেত্রফল,25,"একটি সমান্তরাল বাহু চতুর্ভুজের দুটি সন্নিহিত বাহু ৮ সেমি এবং ১০ সেমি, এবং তাদের মধ্যবর্তী কোণ ৬০°। এর ক্ষেত্রফল কত বর্গ সেমি?",34.64,36,38.25,40,  A,ক্ষেত্রফল = বাহু × বাহু × sin(কোণ) = ৮ × ১০ × sin(৬০°) = ৮০ × (√৩/২) ≈ ৮০ × ০.৮৬৬ = ৬৯.২৮/২ = ৩৪.৬৪ বর্গ সেমি। Option A সঠিক।,5
সমতলক্ষেত্রের ক্ষেত্রফল,26,একটি বৃত্তের ব্যাসার্ধ ১০ সেমি এবং এর একটি জ্যা ১৬ সেমি। জ্যা ও বৃত্তের কেন্দ্রের মধ্যবর্তী ত্রিভুজের ক্ষেত্রফল কত বর্গ সেমি?,48,50,52,54,  A,জ্যার অর্ধেক = ৮ সেমি। কেন্দ্র থেকে জ্যা পর্যন্ত দূরত্ব = √(১০² − ৮²) = √(১০০ − ৬৪) = ৬ সেমি। ত্রিভুজের ক্ষেত্রফল = ১/২ × জ্যা × দূরত্ব = ১/২ × ১৬ × ৬ = ৪৮ বর্গ সেমি। Option A সঠিক।,6
সমতলক্ষেত্রের ক্ষেত্রফল,27,একটি আয়তক্ষেত্রের ক্ষেত্রফল ১২০ বর্গ সেমি এবং এর দৈর্ঘ্য ও প্রস্থের অনুপাত ৩:২। দৈর্ঘ্য কত সেমি?,10,12,15,18,  C,"ধরি, দৈর্ঘ্য = ৩x, প্রস্থ = ২x। ক্ষেত্রফল = ৩x × ২x = ৬x² = ১২০ ⇒ x² = ২০ ⇒ x = √২০। দৈর্ঘ্য = ৩x = ৩ × √২০ ≈ ১৫ সেমি। Option C সঠিক।",6
সমতলক্ষেত্রের ক্ষেত্রফল,28,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (০,০), (৬,০), এবং (৩,৪)। এর ক্ষেত্রফল কত বর্গ একক?",10,12,14,16,  B,ক্ষেত্রফল = ১/২ × |x₁(y₂ − y₃) + x₂(y₃ − y₁) + x₃(y₁ − y₂)| = ১/২ × |০(০ − ৪) + ৬(৪ − ০) + ৩(০ − ০)| = ১/২ × |২৪| = ১২ বর্গ একক। Option B সঠিক।,6
সমতলক্ষেত্রের ক্ষেত্রফল,29,একটি বৃত্তের অংশের কোণ ১২০° এবং ব্যাসার্ধ ২১ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ২২/৭),462,468,472,476,  A,ক্ষেত্রফল = (১২০/৩৬০) × (২২/৭) × ২১² = ১/৩ × ২২/৭ × ৪৪১ = ২২ × ৬৩ / ৩ = ৪৬২ বর্গ সেমি। Option A সঠিক।,6
সমতলক্ষেত্রের ক্ষেত্রফল,30,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ২০ সেমি এবং ১২ সেমি, এবং অসমান্তরাল বাহুগুলো ১০ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",128,132,136,140,  A,উচ্চতা = √(১০² − ((২০ − ১২)/২)²) = √(১০০ − ১৬) = ৮ সেমি। ক্ষেত্রফল = ১/২ × (২০ + ১২) × ৮ = ১২৮ বর্গ সেমি। Option A সঠিক।,6
সমতলক্ষেত্রের ক্ষেত্রফল,31,একটি বৃত্তের ব্যাসার্ধ ১৪ সেমি এবং এর একটি অংশের কোণ ৬০°। অংশটির ক্ষেত্রফল কত বর্গ সেমি? (π = ২২/৭),100.57,102.67,104.76,106.86,  B,ক্ষেত্রফল = (৬০/৩৬০) × (২২/৭) × ১৪² = ১/৬ × ২২/৭ × ১৯৬ = ৬১৬/৬ ≈ ১০২.৬৭ বর্গ সেমি। Option B সঠিক।,7
সমতলক্ষেত্রের ক্ষেত্রফল,32,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (২,১), (৬,৫), এবং (৮,২)। এর ক্ষেত্রফল কত বর্গ একক?",16,18,20,22,  C,ক্ষেত্রফল = ১/২ × |২(৫ − ২) + ৬(২ − ১) + ৮(১ − ৫)| = ১/২ × |৬ + ৬ − ৩২| = ১/২ × ৪০ = ২০ বর্গ একক। Option C সঠিক।,7
সমতলক্ষেত্রের ক্ষেত্রফল,33,একটি নিয়মিত অষ্টভুজের বাহুর দৈর্ঘ্য ৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি? (প্রায় মান),120.71,122.83,124.95,126.27,  A,ক্ষেত্রফল = ২(১ + √২) × বাহু² ≈ ৪.৮২৮ × ৫² ≈ ১২০.৭১ বর্গ সেমি। Option A সঠিক।,7
সমতলক্ষেত্রের ক্ষেত্রফল,34,একটি বৃত্তের ব্যাসার্ধ ১৫ সেমি এবং এর একটি জ্যার দৈর্ঘ্য ২৪ সেমি। জ্যা ও বৃত্তের কেন্দ্রের মধ্যবর্তী ত্রিভুজের ক্ষেত্রফল কত বর্গ সেমি?,108,112,116,120,  A,জ্যার অর্ধেক = ১২ সেমি। দূরত্ব = √(১৫² − ১২²) = √(২২৫ − ১৪৪) = ৯ সেমি। ক্ষেত্রফল = ১/২ × ২৪ × ৯ = ১০৮ বর্গ সেমি। Option A সঠিক।,7
সমতলক্ষেত্রের ক্ষেত্রফল,35,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১৮ সেমি এবং ১০ সেমি, এবং অসমান্তরাল বাহুগুলো ১৩ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",144,148,152,156,  A,উচ্চতা = √(১৩² − ((১৮ − ১০)/২)²) = √(১৬৯ − ১৬) = ১২ সেমি। ক্ষেত্রফল = ১/২ × (১৮ + ১০) × ১২ = ১৪৪ বর্গ সেমি। Option A সঠিক।,7
সমতলক্ষেত্রের ক্ষেত্রফল,36,একটি বৃত্তের ব্যাসার্ধ ১০ সেমি এবং এর একটি অংশের কোণ ১৮০°। অংশটির ক্ষেত্রফল কত বর্গ সেমি? (π = ৩.১৪),154,157,160,163,  B,ক্ষেত্রফল = (১৮০/৩৬০) × ৩.১৪ × ১০² = ১/২ × ৩.১৪ × ১০০ = ১৫৭ বর্গ সেমি। Option B সঠিক।,8
সমতলক্ষেত্রের ক্ষেত্রফল,37,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (০,০), (৪,৩), এবং (৬,১)। এর ক্ষেত্রফল কত বর্গ একক?",7,8,9,10,  A,ক্ষেত্রফল = ১/২ × |০(৩ − ১) + ৪(১ − ০) + ৬(০ − ৩)| = ১/২ × |৪ − ১৮| = ১/২ × ১৪ = ৭ বর্গ একক। Option A সঠিক।,8
সমতলক্ষেত্রের ক্ষেত্রফল,38,একটি নিয়মিত পঞ্চভুজের ক্ষেত্রফল ১৭২.৫ বর্গ সেমি। এর বাহুর দৈর্ঘ্য কত সেমি? (প্রায় মান),8,9,10,11,  C,"ক্ষেত্রফল = (১/৪) × √(৫(৫ + ২√৫)) × বাহু² ≈ ১.৭২১ × বাহু²/৪। তাই, ১৭২.৫ = ০.৪৩০ × বাহু² ⇒ বাহু² = ৪০১.১৬ ⇒ বাহু ≈ ১০ সেমি। Option C সঠিক।",8
সমতলক্ষেত্রের ক্ষেত্রফল,39,একটি বৃত্তের ব্যাসার্ধ ১২ সেমি এবং এর একটি অংশের কোণ ১৫০°। এর ক্ষেত্রফল কত বর্গ সেমি? (π = ৩.১৪),188.4,190.4,192.4,194.4,  A,ক্ষেত্রফল = (১৫০/৩৬০) × ৩.১৪ × ১২² = (৫/১২) × ৩.১৪ × ১৪৪ ≈ ১৮৮.৪ বর্গ সেমি। Option A সঠিক।,8
সমতলক্ষেত্রের ক্ষেত্রফল,40,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ২২ সেমি এবং ১৪ সেমি, এবং অসমান্তরাল বাহুগুলো ১০ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",180,184,188,192,  A,উচ্চতা = √(১০² − ((২২ − ১৪)/২)²) = √(১০০ − ১৬) = ৮ সেমি। ক্ষেত্রফল = ১/২ × (২২ + ১৪) × ৮ = ১৮০ বর্গ সেমি। Option A সঠিক।,8
সমতলক্ষেত্রের ক্ষেত্রফল,41,একটি বৃত্তের ব্যাসার্ধ ৮ সেমি এবং এর একটি অংশের কোণ ২৭০°। অংশটির ক্ষেত্রফল কত বর্গ সেমি? (π = ৩.১৪),150.72,151.84,152.96,154.08,  A,ক্ষেত্রফল = (২৭০/৩৬০) × ৩.১৪ × ৮² = ৩/৪ × ৩.১৪ × ৬৪ = ১৫০.৭২ বর্গ সেমি। Option A সঠিক।,9
সমতলক্ষেত্রের ক্ষেত্রফল,42,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (১,২), (৫,৬), এবং (৭,৩)। এর ক্ষেত্রফল কত বর্গ একক?",10,11,12,13,  A,ক্ষেত্রফল = ১/২ × |১(৬ − ৩) + ৫(৩ − ২) + ৭(২ − ৬)| = ১/২ × |৩ + ৫ − ২৮| = ১/২ × ২০ = ১০ বর্গ একক। Option A সঠিক।,9
সমতলক্ষেত্রের ক্ষেত্রফল,43,একটি নিয়মিত অষ্টভুজের ক্ষেত্রফল ৪৮২.৮৪ বর্গ সেমি। এর বাহুর দৈর্ঘ্য কত সেমি? (প্রায় মান),9,10,11,12,  B,"ক্ষেত্রফল = ২(১ + √২) × বাহু² ≈ ৪.৮২৮ × বাহু²। তাই, ৪৮২.৮৪ = ৪.৮২৮ × বাহু² ⇒ বাহু² = ১০০ ⇒ বাহু = ১০ সেমি। Option B সঠিক।",9
সমতলক্ষেত্রের ক্ষেত্রফল,44,একটি বৃত্তের ব্যাসার্ধ ১০ সেমি এবং এর একটি জ্যার দৈর্ঘ্য ১২ সেমি। জ্যা ও বৃত্তের কেন্দ্রের মধ্যবর্তী ত্রিভুজের ক্ষেত্রফল কত বর্গ সেমি?,48,50,52,54,  A,জ্যার অর্ধেক = ৬ সেমি। দূরত্ব = √(১০² − ৬²) = √(১০০ − ৩৬) = ৮ সেমি। ক্ষেত্রফল = ১/২ × ১২ × ৮ = ৪৮ বর্গ সেমি। Option A সঠিক।,9
সমতলক্ষেত্রের ক্ষেত্রফল,45,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ২৪ সেমি এবং ১৬ সেমি, এবং অসমান্তরাল বাহুগুলো ১৭ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",320,324,328,332,  A,উচ্চতা = √(১৭² − ((২৪ − ১৬)/২)²) = √(২৮৯ − ১৬) = ১৬ সেমি। ক্ষেত্রফল = ১/২ × (২৪ + ১৬) × ১৬ = ৩২০ বর্গ সেমি। Option A সঠিক।,9
সমতলক্ষেত্রের ক্ষেত্রফল,46,একটি বৃত্তের ব্যাসার্ধ ১৫ সেমি এবং এর একটি অংশের কোণ ২৪০°। অংশটির ক্ষেত্রফল কত বর্গ সেমি? (π = ৩.১৪),471,472.5,475,477,  A,ক্ষেত্রফল = (২৪০/৩৬০) × ৩.১৪ × ১৫² = ২/৩ × ৩.১৪ × ২২৫ = ৪৭১ বর্গ সেমি। Option A সঠিক।,10
সমতলক্ষেত্রের ক্ষেত্রফল,47,"একটি ত্রিভুজের শীর্ষবিন্দুগুলো (২,৩), (৮,৭), এবং (১০,৪)। এর ক্ষেত্রফল কত বর্গ একক?",15,16,17,18,  A,ক্ষেত্রফল = ১/২ × |২(৭ − ৪) + ৮(৪ − ৩) + ১০(৩ − ৭)| = ১/২ × |৬ + ৮ − ৪০| = ১/২ × ৩০ = ১৫ বর্গ একক। Option A সঠিক।,10
সমতলক্ষেত্রের ক্ষেত্রফল,48,একটি নিয়মিত ষড়ভুজের ক্ষেত্রফল ১০৩.৯২ বর্গ সেমি। এর বাহুর দৈর্ঘ্য কত সেমি?,6,7,8,9,  A,"ক্ষেত্রফল = (৩√৩/২) × বাহু² ≈ ২.৫৯৮ × বাহু²। তাই, ১০৩.৯২ = ২.৫৯৮ × বাহু² ⇒ বাহু² = ৩৬ ⇒ বাহু = ৬ সেমি। Option A সঠিক।",10
সমতলক্ষেত্রের ক্ষেত্রফল,49,একটি বৃত্তের ব্যাসার্ধ ১৮ সেমি এবং এর একটি জ্যার দৈর্ঘ্য ৩০ সেমি। জ্যা ও বৃত্তের কেন্দ্রের মধ্যবর্তী ত্রিভুজের ক্ষেত্রফল কত বর্গ সেমি?,135,140,145,150,  A,জ্যার অর্ধেক = ১৫ সেমি। দূরত্ব = √(১৮² − ১৫²) = √(৩২৪ − ২২৫) = ৯ সেমি। ক্ষেত্রফল = ১/২ × ৩০ × ৯ = ১৩৫ বর্গ সেমি। Option A সঠিক।,10
সমতলক্ষেত্রের ক্ষেত্রফল,50,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ৩০ সেমি এবং ২০ সেমি, এবং অসমান্তরাল বাহুগুলো ১৩ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",300,312,324,336,  A,উচ্চতা = √(১৩² − ((৩০ − ২০)/২)²) = √(১৬৯ − ২৫) = ১২ সেমি। ক্ষেত্রফল = ১/২ × (৩০ + ২০) × ১২ = ৩০০ বর্গ সেমি। Option A সঠিক।,10
সমতলক্ষেত্রের ক্ষেত্রফল,51,একটি সমকোণী ত্রিভুজের সমকোণ সংলগ্ন বাহুগুলো ৩ সেমি এবং ৪ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,6,8,10,12,  A,ক্ষেত্রফল = ১/২ × ভূমি × উচ্চতা = ১/২ × ৩ × ৪ = ৬ বর্গ সেমি। Option A সঠিক।,1
সমতলক্ষেত্রের ক্ষেত্রফল,52,একটি আয়তক্ষেত্রের দৈর্ঘ্য ১২ সেমি এবং প্রস্থ ৫ সেমি। এর কর্ণের দৈর্ঘ্য কত সেমি? (পিথাগোরাসের উপপাদ্য ব্যবহার করুন),11,13,15,17,  B,কর্ণ = √(দৈর্ঘ্য² + প্রস্থ²) = √(১২² + ৫²) = √(১৪৪ + ২৫) = √১৬৯ = ১৩ সেমি। Option B সঠিক।,1
সমতলক্ষেত্রের ক্ষেত্রফল,53,"একটি সমকোণী ত্রিভুজের বাহুগুলো ৬ সেমি, ৮ সেমি, এবং ১০ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",20,24,28,32,  B,এটি একটি সমকোণী ত্রিভুজ (৬² + ৮² = ১০²)। ক্ষেত্রফল = ১/২ × ৬ × ৮ = ২৪ বর্গ সেমি। Option B সঠিক।,1
সমতলক্ষেত্রের ক্ষেত্রফল,54,একটি সমান্তরাল বাহু চতুর্ভুজের ভূমি ১০ সেমি এবং উচ্চতা ৬ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,50,60,70,80,  B,ক্ষেত্রফল = ভূমি × উচ্চতা = ১০ × ৬ = ৬০ বর্গ সেমি। Option B সঠিক।,2
সমতলক্ষেত্রের ক্ষেত্রফল,55,একটি সমকোণী ত্রিভুজের সমকোণ সংলগ্ন বাহুগুলো ৫ সেমি এবং ১২ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?,25,30,35,40,  B,ক্ষেত্রফল = ১/২ × ৫ × ১২ = ৩০ বর্গ সেমি। Option B সঠিক।,2
সমতলক্ষেত্রের ক্ষেত্রফল,56,একটি আয়তক্ষেত্রের দৈর্ঘ্য ১৫ সেমি এবং প্রস্থ ৮ সেমি। পিথাগোরাসের উপপাদ্য ব্যবহার করে এর কর্ণের দৈর্ঘ্য কত সেমি?,16,17,18,19,  B,কর্ণ = √(১৫² + ৮²) = √(২২৫ + ৬৪) = √২৮৯ = ১৭ সেমি। Option B সঠিক।,2
সমতলক্ষেত্রের ক্ষেত্রফল,57,"একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১৪ সেমি এবং ৬ সেমি, এবং উচ্চতা ৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",45,50,55,60,  B,ক্ষেত্রফল = ১/২ × (১৪ + ৬) × ৫ = ১/২ × ২০ × ৫ = ৫০ বর্গ সেমি। Option B সঠিক।,3
সমতলক্ষেত্রের ক্ষেত্রফল,58,একটি সমকোণী ত্রিভুজের অতিভুজ ১৩ সেমি এবং একটি বাহু ৫ সেমি। অন্য বাহু কত সেমি? (পিথাগোরাসের উপপাদ্য ব্যবহার করুন),10,11,12,13,  C,অন্য বাহু = √(১৩² − ৫²) = √(১৬৯ − ২৫) = √১৪৪ = ১২ সেমি। Option C সঠিক।,3
সমতলক্ষেত্রের ক্ষেত্রফল,59,"একটি সমকোণী ত্রিভুজের বাহুগুলো ৯ সেমি, ১২ সেমি, এবং ১৫ সেমি। এর ক্ষেত্রফল কত বর্গ সেমি?",48,54,60,66,  B,এটি একটি সমকোণী ত্রিভুজ (৯² + ১২² = ১৫²)। ক্ষেত্রফল = ১/২ × ৯ × ১২ = ৫৪ বর্গ সেমি। Option B সঠিক।,3
