Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty Level
মৌলিক ধারণা,25,একটি চতুর্ভুজাকার পিরামিডের মুখের সংখ্যা কত?,4,5,6,8,B,চতুর্ভুজাকার পিরামিডের ৫টি মুখ: ১টি চতুর্ভুজ ভিত্তি ও ৪টি ত্রিভুজাকার পাশ।,5
মৌলিক ধারণা,26,দুটি রেখা একটি সমতলের সাথে সমান্তরাল হলে তারা কী হয়?,সমান্তরাল,লম্ব,ছেদকারী,বক্র,A,দুটি রেখা একই সমতলের সাথে সমান্তরাল হলে তারা পরস্পর সমান্তরাল হয়।,5
মৌলিক ধারণা,27,একটি প্রিজমের ধারের সংখ্যা কীভাবে নির্ধারিত হয়?,ভিত্তির বাহু × ৩,ভিত্তির বাহু × ২,ভিত্তির কোণ + ২,ভিত্তির বাহু + ১,A,প্রিজমের ধারের সংখ্যা = ভিত্তির বাহুর সংখ্যা × ৩।,5
মৌলিক ধারণা,28,একটি সমতলের সাথে একটি রেখা কখন সমান্তরাল হয়?,যখন রেখাটি সমতলের উপর থাকে,যখন রেখাটি সমতলকে ছেদ করে না,যখন রেখাটি সমতলের সাথে ৯০° কোণ তৈরি করে,যখন রেখাটি বক্র হয়,B,রেখা সমতলের সাথে সমান্তরাল হয় যদি এটি সমতলকে কখনো ছেদ না করে।,5
মৌলিক ধারণা,29,একটি ঘনকের কোণগুলোর মধ্যে কোণ কত?,৪৫°,৬০°,৯০°,১২০°,C,ঘনকের প্রতিটি কোণে তিনটি মুখ ৯০° কোণে মিলিত হয়।,5
মৌলিক ধারণা,30,একটি ত্রিভুজাকার পিরামিডের ধারের সংখ্যা কত?,4,6,8,10,B,ত্রিভুজাকার পিরামিডের ৬টি ধার থাকে।,5
মৌলিক ধারণা,31,দুটি সমতল কখন লম্ব হয়?,যখন তারা একটি বিন্দুতে মিলিত হয়,যখন তারা ৯০° কোণে ছেদ করে,যখন তারা সমান্তরাল হয়,যখন তারা একই হয়,B,দুটি সমতল লম্ব হয় যদি তারা ৯০° কোণে ছেদ করে।,6
মৌলিক ধারণা,32,একটি প্রিজমের কোণের সংখ্যা কীভাবে নির্ধারিত হয়?,ভিত্তির বাহু × ২,ভিত্তির বাহু × ৩,ভিত্তির বাহু + ২,ভিত্তির বাহু × ৪,A,প্রিজমের কোণের সংখ্যা = ভিত্তির বাহুর সংখ্যা × ২।,6
মৌলিক ধারণা,33,একটি রেখা একটি সমতলের সাথে কয়টি বিন্দুতে ছেদ করতে পারে?,১টি,২টি,৩টি,অসীম,A,একটি রেখা একটি সমতলের সাথে সর্বাধিক ১টি বিন্দুতে ছেদ করে যদি না এটি সমতলের উপর থাকে।,6
মৌলিক ধারণা,34,একটি পিরামিডের কোণের সংখ্যা কত হয় যদি ভিত্তি পঞ্চভুজ হয়?,5,6,7,8,B,পঞ্চভুজাকার পিরামিডের কোণ = ভিত্তির বাহু (৫) + শীর্ষ (১) = ৬।,6
মৌলিক ধারণা,35,একটি ঘনকের মুখ  ধার ও কোণের সংখ্যার সম্পর্ক কী?,মুখ + কোণ = ধার + ২,মুখ + ধার = কোণ,মুখ + ধার = কোণ + ২,মুখ + কোণ = ধার,A,ঘনকের জন্য মুখ (৬) + কোণ (৮) = ধার (১২) + ২  যা ওয়েলারের সূত্র।,6
মৌলিক ধারণা,36,একটি প্রিজমের ভিত্তি ষড়ভুজ হলে মুখের সংখ্যা কত?,6,7,8,9,C,ষড়ভুজাকার প্রিজমের মুখ = ভিত্তি (২) + পাশ (৬) = ৮।,6
মৌলিক ধারণা,37,একটি রেখা ও সমতলের মধ্যে কোণ ০° হলে কী হয়?,রেখাটি সমতলের উপর থাকে,রেখাটি সমতলের সাথে লম্ব,রেখাটি সমতলকে ছেদ করে,রেখাটি বক্র হয়,A,কোণ ০° হলে রেখাটি সমতলের সমান্তরাল এবং সমতলের উপর থাকে।,7
মৌলিক ধারণা,38,একটি ত্রিভুজাকার প্রিজমের কোণের সংখ্যা কত?,6,8,10,12,A,ত্রিভুজাকার প্রিজমের কোণ = ভিত্তির বাহু (৩) × ২ = ৬।,7
মৌলিক ধারণা,39,দুটি সমতলের ছেদ রেখা কখন সমান্তরাল হয়?,যখন সমতল দুটি একটি তৃতীয় সমতলের সাথে সমান্তরাল,যখন সমতল দুটি লম্ব,যখন সমতল দুটি একই হয়,যখন সমতল দুটি ছেদ করে না,A,সমতল দুটি একটি তৃতীয় সমতলের সাথে সমান্তরাল হলে তাদের ছেদ রেখা সমান্তরাল হয়।,7
মৌলিক ধারণা,40,একটি পিরামিডের ধারের সংখ্যা কীভাবে নির্ধারিত হয়?,ভিত্তির বাহু × ২,ভিত্তির বাহু + ১,ভিত্তির বাহু × ৩,ভিত্তির বাহু + ২,A,পিরামিডের ধার = ভিত্তির বাহু × ২।,7
মৌলিক ধারণা,41,একটি ঘনকের মুখগুলোর মধ্যে কোণ কত?,৪৫°,৬০°,৯০°,১২০°,C,ঘনকের প্রতিটি মুখ পরস্পরের সাথে ৯০° কোণে থাকে।,7
মৌলিক ধারণা,42,একটি প্রিজমের পাশের মুখ কখন আয়তক্ষেত্র হয়?,যখন ভিত্তি ত্রিভুজ হয়,যখন ভিত্তি সমান্তরাল এবং পাশ লম্ব,যখন ভিত্তি বৃত্ত হয়,যখন পাশ বক্র হয়,B,পাশের মুখ আয়তক্ষেত্র হয় যখন ভিত্তি সমান্তরাল এবং পাশ লম্ব থাকে।,7
মৌলিক ধারণা,43,একটি সমতল ও রেখার মধ্যে কোণ নির্ধারণে কোনটি গুরুত্বপূর্ণ?,রেখার দৈর্ঘ্য,সমতলের ক্ষেত্রফল,রেখার সমতলের প্রক্ষেপণ,সমতলের ঢাল,C,রেখার সমতলের প্রক্ষেপণের সাথে রেখার কোণ নির্ধারণ করা হয়।,8
মৌলিক ধারণা,44,একটি পঞ্চভুজাকার প্রিজমের ধারের সংখ্যা কত?,10,12,15,18,C,পঞ্চভুজাকার প্রিজমের ধার = ভিত্তির বাহু (৫) × ৩ = ১৫।,8
মৌলিক ধারণা,45,দুটি রেখা একটি সমতলের সাথে লম্ব হলে তারা কী হয়?,সমান্তরাল,লম্ব,ছেদকারী,বক্র,A,দুটি রেখা একই সমতলের সাথে লম্ব হলে তারা সমান্তরাল হয়।,8
মৌলিক ধারণা,46,একটি ত্রিভুজাকার পিরামিডের মুখ  ধার ও কোণের সম্পর্ক কী?,মুখ + কোণ = ধার + ২,মুখ + ধার = কোণ,মুখ + ধার = কোণ + ২,মুখ + কোণ = ধার,A,ত্রিভুজাকার পিরামিডের জন্য মুখ (৪) + কোণ (৪) = ধার (৬) + ২।,8
মৌলিক ধারণা,47,একটি প্রিজমের ভিত্তি চতুর্ভুজ হলে কোণের সংখ্যা কত?,6,8,10,12,B,চতুর্ভুজাকার প্রিজমের কোণ = ভিত্তির বাহু (৪) × ২ = ৮।,8
মৌলিক ধারণা,48,একটি সমতলের সাথে একটি রেখা কখন ছেদ করে না?,যখন রেখাটি সমতলের উপর থাকে,যখন রেখাটি সমতলের সমান্তরাল,যখন রেখাটি সমতলের সাথে লম্ব,যখন রেখাটি বক্র,B,রেখাটি সমতলের সমান্তরাল হলে এটি সমতলকে ছেদ করে না।,8
মৌলিক ধারণা,49,একটি ষড়ভুজাকার পিরামিডের মুখের সংখ্যা কত?,6,7,8,9,B,ষড়ভুজাকার পিরামিডের মুখ = ভিত্তির বাহু (৬) + ১ = ৭।,9
মৌলিক ধারণা,50,দুটি সমতলের ছেদ রেখা একটি তৃতীয় সমতলের সাথে কখন লম্ব হয়?,যখন তৃতীয় সমতলটি প্রথম দুটির সাথে সমান্তরাল,যখন তৃতীয় সমতলটি প্রথম দুটির সাথে লম্ব,যখন তৃতীয় সমতলটি প্রথম দুটির সাথে ছেদ করে,যখন তৃতীয় সমতলটি বক্র,B,ছেদ রেখা তৃতীয় সমতলের সাথে লম্ব হয় যদি তৃতীয় সমতলটি প্রথম দুটির সাথে লম্ব হয়।,9
মৌলিক ধারণা,51,একটি প্রিজমের পাশের মুখ কখন বর্গ হয়?,যখন ভিত্তি বর্গ এবং পাশ লম্ব,যখন ভিত্তি ত্রিভুজ,যখন পাশ বক্র,যখন ভিত্তি বৃত্ত,A,পাশের মুখ বর্গ হয় যখন ভিত্তি বর্গ এবং পাশ লম্ব থাকে।,9
মৌলিক ধারণা,52,একটি ঘনকের মুখ  ধার ও কোণের মধ্যে ওয়েলারের সূত্র কী?,মুখ + কোণ = ধার + ২,মুখ + ধার = কোণ,মুখ + ধার = কোণ + ২,মুখ + কোণ = ধার,A,ঘনকের জন্য মুখ (৬) + কোণ (৮) = ধার (১২) + ২।,9
মৌলিক ধারণা,53,একটি পিরামিডের ভিত্তি ষড়ভুজ হলে ধারের সংখ্যা কত?,10,12,14,16,B,ষড়ভুজাকার পিরামিডের ধার = ভিত্তির বাহু (৬) × ২ = ১২।,9
মৌলিক ধারণা,54,একটি রেখা ও সমতলের মধ্যে কোণ ৯০° হলে কী হয়?,রেখাটি সমতলের উপর থাকে,রেখাটি সমতলের সাথে লম্ব,রেখাটি সমতলের সমান্তরাল,রেখাটি বক্র,B,কোণ ৯০° হলে রেখাটি সমতলের সাথে লম্ব হয়।,9
মৌলিক ধারণা,55,একটি পঞ্চভুজাকার প্রিজমের মুখ  ধার ও কোণের সম্পর্ক কী?,মুখ + ধার = কোণ,মুখ + কোণ = ধার + ২,মুখ + ধার = কোণ + ২,মুখ + কোণ = ধার,B,পঞ্চভুজাকার প্রিজমের জন্য মুখ (৭) + কোণ (১০) = ধার (১৫) + ২।,10
মৌলিক ধারণা,56,একটি সমতলের সাথে দুটি রেখা সমান্তরাল হলে তাদের মধ্যে সম্পর্ক কী?,তারা সমান্তরাল,তারা লম্ব,তারা ছেদকারী,তারা বক্র,A,দুটি রেখা একই সমতলের সাথে সমান্তরাল হলে তারা পরস্পর সমান্তরাল হয়।,10
মৌলিক ধারণা,57,একটি ত্রিভুজাকার প্রিজমের পাশের মুখ কখন ত্রিভুজ হয়?,যখন ভিত্তি বর্গ,যখন পাশ লম্ব নয়,যখন ভিত্তি ত্রিভুজ এবং পাশ বক্র,কখনো না,D,ত্রিভুজাকার প্রিজমের পাশের মুখ সাধারণত আয়তক্ষেত্র হয় ত্রিভুজ নয়।,10
মৌলিক ধারণা,58,একটি পিরামিডের শীর্ষ থেকে ভিত্তির কেন্দ্রে অঙ্কিত রেখা কী হিসেবে পরিচিত?,উচ্চতা,ধার,পাশ,কোণ,A,শীর্ষ থেকে ভিত্তির কেন্দ্রে অঙ্কিত রেখা পিরামিডের উচ্চতা।,10
মৌলিক ধারণা,59,দুটি সমতলের ছেদ রেখা একটি তৃতীয় সমতলের সাথে কখন সমান্তরাল হয়?,যখন তৃতীয় সমতলটি প্রথম দুটির সাথে সমান্তরাল,যখন তৃতীয় সমতলটি প্রথম দুটির সাথে লম্ব,যখন তৃতীয় সমতলটি প্রথম দুটির সাথে ছেদ করে,যখন তৃতীয় সমতলটি বক্র,A,ছেদ রেখা তৃতীয় সমতলের সাথে সমান্তরাল হয় যদি তৃতীয় সমতলটি প্রথম দুটির সাথে সমান্তরাল হয়।,10
মৌলিক ধারণা,60,একটি ঘনকের মুখগুলোর মধ্যে সমান্তরাল মুখের সংখ্যা কত?,২টি,৪টি,৬টি,৮টি,B,ঘনকের ৬টি মুখের মধ্যে ৪টি মুখ পরস্পর সমান্তরাল (২ জোড়া)।,10
আয়তাকার ঘনবস্তু ও ঘনক,61,"একটি ঘনকের ধারের দৈর্ঘ্য 4 সেমি হলে, এর আয়তন কত?",64 ঘনসেমি,16 ঘনসেমি,32 ঘনসেমি,48 ঘনসেমি,A,আয়তন = ধার³ = 4³ = 64 ঘনসেমি,3
আয়তাকার ঘনবস্তু ও ঘনক,62,"একটি আয়তাকার ঘনবস্তুর দৈর্ঘ্য 5 সেমি, প্রস্থ 3 সেমি এবং উচ্চতা 2 সেমি হলে, এর আয়তন কত?",30 ঘনসেমি,25 ঘনসেমি,20 ঘনসেমি,15 ঘনসেমি,A,আয়তন = দৈর্ঘ্য × প্রস্থ × উচ্চতা = 5×3×2 = 30 ঘনসেমি,2
আয়তাকার ঘনবস্তু ও ঘনক,63,"একটি ঘনকের সমগ্রতলের ক্ষেত্রফল 150 বর্গসেমি হলে, এর একটি তলের ক্ষেত্রফল কত?",25 বর্গসেমি,30 বর্গসেমি,35 বর্গসেমি,40 বর্গসেমি,A,এক তলের ক্ষেত্রফল = সমগ্রতল/6 = 150/6 = 25 বর্গসেমি,4
আয়তাকার ঘনবস্তু ও ঘনক,64,"একটি আয়তাকার ঘনবস্তুর আয়তন 120 ঘনসেমি এবং ভূমির ক্ষেত্রফল 30 বর্গসেমি হলে, উচ্চতা কত?",4 সেমি,5 সেমি,6 সেমি,8 সেমি,A,উচ্চতা = আয়তন/ভূমির ক্ষেত্রফল = 120/30 = 4 সেমি,5
আয়তাকার ঘনবস্তু ও ঘনক,65,"একটি ঘনকের ধারের দৈর্ঘ্য দ্বিগুণ করলে, আয়তন কত গুণ হবে?",2 গুণ,4 গুণ,6 গুণ,8 গুণ,D,নতুন আয়তন = (2a)³ = 8a³,6
আয়তাকার ঘনবস্তু ও ঘনক,66,"একটি আয়তাকার ঘনবস্তুর দৈর্ঘ্য, প্রস্থ ও উচ্চতার অনুপাত 3:2:1 এবং আয়তন 48 ঘনসেমি হলে, উচ্চতা কত?",2 সেমি,3 সেমি,4 সেমি,6 সেমি,A,ধরি 3x×2x×x=48 ⇒ x³=8 ⇒ x=2 সেমি,5
আয়তাকার ঘনবস্তু ও ঘনক,67,"একটি ঘনকের কর্ণের দৈর্ঘ্য 5√3 সেমি হলে, এর ধারের দৈর্ঘ্য কত?",3 সেমি,4 সেমি,5 সেমি,6 সেমি,C,কর্ণ = a√3 ⇒ a = 5 সেমি,7
আয়তাকার ঘনবস্তু ও ঘনক,68,"একটি আয়তাকার ঘনবস্তুর সমগ্রতলের ক্ষেত্রফল 94 বর্গসেমি এবং দৈর্ঘ্য 5 সেমি, প্রস্থ 4 সেমি হলে, উচ্চতা কত?",3 সেমি,3.5 সেমি,4 সেমি,4.5 সেমি,A,2(5×4+5×h+4×h)=94 ⇒ h=3 সেমি,6
আয়তাকার ঘনবস্তু ও ঘনক,69,"একটি ঘনকের ধার 20% বৃদ্ধি করলে, পৃষ্ঠতলের ক্ষেত্রফল কত শতাংশ বৃদ্ধি পাবে?",20%,40%,44%,50%,C,নতুন ক্ষেত্রফল = 6×(1.2a)² = 1.44×6a² ⇒ 44% বৃদ্ধি,8
আয়তাকার ঘনবস্তু ও ঘনক,70,"দুটি ঘনকের আয়তনের অনুপাত 1:8 হলে, তাদের ধারের দৈর্ঘ্যের অনুপাত কত?",1:2,1:3,1:4,1:8,A,ধারের অনুপাত = আয়তনের ঘনমূলের অনুপাত = 1:2,7
আয়তাকার ঘনবস্তু ও ঘনক,71,"একটি আয়তাকার ঘনবস্তুর দৈর্ঘ্য 8 সেমি, প্রস্থ 6 সেমি এবং কর্ণ 10√2 সেমি হলে, উচ্চতা কত?",10 সেমি,12 সেমি,14 সেমি,16 সেমি,A,কর্ণ = √(দৈর্ঘ্য²+প্রস্থ²+উচ্চতা²) ⇒ উচ্চতা = 10 সেমি,8
আয়তাকার ঘনবস্তু ও ঘনক,72,"একটি ঘনকের সমগ্রতলের ক্ষেত্রফল এবং আয়তন সংখ্যামানে সমান হলে, ধারের দৈর্ঘ্য কত?",3 সেমি,4 সেমি,5 সেমি,6 সেমি,D,6a² = a³ ⇒ a=6 সেমি,7
আয়তাকার ঘনবস্তু ও ঘনক,73,একটি আয়তাকার ঘনবস্তুর দৈর্ঘ্য ও প্রস্থ যথাক্রমে 10 সেমি ও 8 সেমি। এর আয়তন 240 ঘনসেমি হলে উচ্চতা কত?,3 সেমি,4 সেমি,5 সেমি,6 সেমি,A,উচ্চতা = আয়তন/(দৈর্ঘ্য×প্রস্থ) = 240/(10×8) = 3 সেমি,4
আয়তাকার ঘনবস্তু ও ঘনক,74,"একটি ঘনকের ধার অর্ধেক করলে, আয়তন কত গুণ কমবে?",1/2 গুণ,1/4 গুণ,1/6 গুণ,1/8 গুণ,D,নতুন আয়তন = (a/2)³ = a³/8,6
আয়তাকার ঘনবস্তু ও ঘনক,75,"একটি আয়তাকার ঘনবস্তুর দৈর্ঘ্য, প্রস্থ ও উচ্চতা যথাক্রমে 12 সেমি, 9 সেমি ও 8 সেমি হলে, কর্ণের দৈর্ঘ্য কত?",17 সেমি,18 সেমি,19 সেমি,20 সেমি,A,কর্ণ = √(12²+9²+8²) = √289 = 17 সেমি,7
আয়তাকার ঘনবস্তু ও ঘনক,76,"একটি ঘনকের পৃষ্ঠতলের ক্ষেত্রফল 96 বর্গসেমি হলে, এর আয়তন কত?",64 ঘনসেমি,125 ঘনসেমি,216 ঘনসেমি,343 ঘনসেমি,A,6a²=96 ⇒ a=4 সেমি ⇒ আয়তন=4³=64 ঘনসেমি,5
আয়তাকার ঘনবস্তু ও ঘনক,77,"একটি আয়তাকার ঘনবস্তুর দৈর্ঘ্য 15 সেমি, প্রস্থ 12 সেমি এবং উচ্চতা 9 সেমি হলে, সমগ্রতলের ক্ষেত্রফল কত?",846 বর্গসেমি,756 বর্গসেমি,648 বর্গসেমি,540 বর্গসেমি,A,সমগ্রতল = 2(15×12 + 15×9 + 12×9) = 846 বর্গসেমি,6
আয়তাকার ঘনবস্তু ও ঘনক,78,"একটি ঘনকের ধার 3 সেমি বৃদ্ধি করলে, আয়তন 387 ঘনসেমি বৃদ্ধি পায়। মূল ঘনকের ধারের দৈর্ঘ্য কত?",6 সেমি,7 সেমি,8 সেমি,9 সেমি,A,(a+3)³-a³=387 ⇒ a=6 সেমি,8
আয়তাকার ঘনবস্তু ও ঘনক,79,"একটি আয়তাকার ঘনবস্তুর দৈর্ঘ্য, প্রস্থ ও উচ্চতা যথাক্রমে 20%, 25% ও 30% বৃদ্ধি করলে, আয়তন কত শতাংশ বৃদ্ধি পাবে?",75%,85%,95%,105%,C,নতুন আয়তন = 1.2×1.25×1.3 = 1.95 ⇒ 95% বৃদ্ধি,9
আয়তাকার ঘনবস্তু ও ঘনক,80,"একটি ঘনকের ধার 2 সেমি হলে, এর কর্ণের দৈর্ঘ্য কত?",2√3 সেমি,3√2 সেমি,4√3 সেমি,6√2 সেমি,A,কর্ণ = a√3 = 2√3 সেমি,5
আয়তাকার ঘনবস্তু ও ঘনক,81,"একটি ঘনকের ধার 5 সেমি হলে, এর পার্শ্বতলের ক্ষেত্রফল কত?",100 বর্গসেমি,125 বর্গসেমি,150 বর্গসেমি,175 বর্গসেমি,A,পার্শ্বতল = 4×ধার² = 4×25 = 100 বর্গসেমি,4
আয়তাকার ঘনবস্তু ও ঘনক,82,"একটি আয়তাকার ঘনবস্তুর দৈর্ঘ্য প্রস্থের দ্বিগুণ এবং উচ্চতা প্রস্থের অর্ধেক। আয়তন 400 ঘনসেমি হলে, প্রস্থ কত?",5 সেমি,10 সেমি,15 সেমি,20 সেমি,B,ধরি প্রস্থ=x ⇒ 2x × x × x/2=400 ⇒ x=10 সেমি,6
আয়তাকার ঘনবস্তু ও ঘনক,83,"দুটি ঘনকের ধারের অনুপাত 2:3 হলে, তাদের আয়তনের অনুপাত কত?",4:9,8:27,2:3,1:3,B,আয়তনের অনুপাত = ধার³ এর অনুপাত = 8:27,7
আয়তাকার ঘনবস্তু ও ঘনক,84,"একটি ঘনকের সমগ্রতলের ক্ষেত্রফল 54 বর্গসেমি হলে, এর কর্ণের দৈর্ঘ্য কত?",3√3 সেমি,4√3 সেমি,5√3 সেমি,6√3 সেমি,A,6a²=54 ⇒ a=3 ⇒ কর্ণ=3√3 সেমি,5
আয়তাকার ঘনবস্তু ও ঘনক,85,"একটি আয়তাকার ঘনবস্তুর তিনটি সংলগ্ন তলের ক্ষেত্রফল 20, 28 ও 35 বর্গসেমি হলে, আয়তন কত?",140 ঘনসেমি,160 ঘনসেমি,180 ঘনসেমি,200 ঘনসেমি,A,√(20×28×35)=140 ঘনসেমি,8
আয়তাকার ঘনবস্তু ও ঘনক,86,"একটি ঘনকের ধার 30% কমানো হলে, পৃষ্ঠতলের ক্ষেত্রফল কত শতাংশ কমবে?",30%,40%,49%,51%,D,নতুন ক্ষেত্রফল = 6×(0.7a)² = 0.49×6a² ⇒ 51% কমবে,9
