Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty Level
সম্ভাবনার সাথে জড়িত কিছু ধারণা,11,একটি পাশা নিক্ষেপে ৭ পড়ার সম্ভাবনা কত?,0,১/৬,১/৩,১/২,A,পাশায় ৭ নেই তাই সম্ভাবনা ০।,1
সম্ভাবনার সাথে জড়িত কিছু ধারণা,12,একটি বাক্সে ৩টি লাল এবং ২টি নীল বল আছে। একটি লাল বল তোলার সম্ভাবনা কত?,২/৫,৩/৫,১/৫,৪/৫,B,"মোট বল ৫ লাল বল ৩ ,তাই সম্ভাবনা ৩/৫।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,13,একটি ঘটনার সম্ভাবনা কত হতে পারে?,০ থেকে ১,১ থেকে ২,-১ থেকে ১,০ থেকে ২,A,ঘটনার সম্ভাবনা সবসময় ০ থেকে ১ এর মধ্যে থাকে।,2
সম্ভাবনার সাথে জড়িত কিছু ধারণা,14,একটি পাশা নিক্ষেপে বিজোড় সংখ্যা পড়ার সম্ভাবনা কত?,১/৩,১/২,২/৩,১/৬,B,"বিজোড় সংখ্যা: ১,৩, ৫ (৩টি)	তাই সম্ভাবনা ৩/৬ = ১/২।",4
সম্ভাবনার সাথে জড়িত কিছু ধারণা,15,নিশ্চিত ঘটনার সম্ভাবনা কত?,0,১/২,1,১/৪,C,নিশ্চিত ঘটনা অবশ্যই ঘটে তাই সম্ভাবনা ১।,1
সম্ভাবনার সাথে জড়িত কিছু ধারণা,16,একটি তাসের প্যাকেট থেকে রাজা টানার সম্ভাবনা কত?,১/১৩,১/৪,১/৫২,১/২৬,A,"মোট তাস ৫২, রাজা ৪ তাই সম্ভাবনা ৪/৫২ = ১/১৩।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,17,অসম্ভব ঘটনার সম্ভাবনা কত?,0,১/২,1,১/৪,A,অসম্ভব ঘটনা কখনো ঘটে না তাই সম্ভাবনা ০।,1
সম্ভাবনার সাথে জড়িত কিছু ধারণা,18,একটি ব্যাগে ৪টি সবুজ এবং ৬টি লাল বল আছে। একটি সবুজ বল তোলার সম্ভাবনা কত?,২/৫,৩/৫,৪/১০,৬/১০,A,মোট বল ১০ সবুজ বল ৪ তাই সম্ভাবনা ৪/১০ = ২/৫।,6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,19,একটি পাশা নিক্ষেপে ৪ বা ৬ পড়ার সম্ভাবনা কত?,১/৩,১/৬,২/৬,১/২,A,"৪ বা ৬ (২টি ফলাফল) মোট ফলাফল ৬ ,তাই সম্ভাবনা ২/৬ = ১/৩।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,20,একটি মুদ্রা তিনবার উল্টালে কমপক্ষে একটি মাথা পড়ার সম্ভাবনা কত?,১/৮,৩/৮,৫/৮,৭/৮,D,মোট ফলাফল ৮ কোনো মাথা না পড়ার সম্ভাবনা ১/৮ তাই কমপক্ষে একটি মাথা ১ - ১/৮ = ৭/৮।,8
সম্ভাবনার সাথে জড়িত কিছু ধারণা,21,একটি তাসের প্যাকেট থেকে কালো তাস টানার সম্ভাবনা কত?,১/৪,১/২,১/৩,১/৫,B,"মোট তাস ৫২ কালো তাস ২৬	তাই সম্ভাবনা ২৬/৫২ = ১/২।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,22,একটি পাশা নিক্ষেপে ১ বা ২ পড়ার সম্ভাবনা কত?,১/৩,১/৬,২/৬,১/২,A,১ বা ২ (২টি ফলাফল) তাই সম্ভাবনা ২/৬ = ১/৩।,4
সম্ভাবনার সাথে জড়িত কিছু ধারণা,23,একটি বাক্সে ৫টি সাদা এবং ৩টি কালো বল আছে। একটি সাদা বল তোলার সম্ভাবনা কত?,৩/৮,５/8,১/৮,২/৮,B,মোট বল ৮ সাদা বল ৫ তাই সম্ভাবনা ৫/৮।,5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,24,একটি ঘটনার পরিপূরক ঘটনার সম্ভাবনা কীভাবে নির্ণয় করা যায়?,১ থেকে ঘটনার সম্ভাবনা বিয়োগ করে,ঘটনার সম্ভাবনাকে ২ দিয়ে ভাগ করে,ঘটনার সম্ভাবনাকে ১ দিয়ে গুণ করে,ঘটনার সম্ভাবনাকে ০ দিয়ে ভাগ করে,A,পরিপূরক ঘটনার সম্ভাবনা = ১ - ঘটনার সম্ভাবনা।,3
সম্ভাবনার সাথে জড়িত কিছু ধারণা,25,একটি পাশা নিক্ষেপে ৫ এর চেয়ে কম সংখ্যা পড়ার সম্ভাবনা কত?,1/6.   ,২/৬,৩/৬,৪/৬,D,"৫ এর চেয়ে কম: ১,২,৩, ৪ (৪টি) তাই সম্ভাবনা ৪/৬ = ২/৩।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,26,একটি তাসের প্যাকেট থেকে লাল রঙের রানী টানার সম্ভাবনা কত?,১/১৩,১/২৬,১/৫২,২/৫২,B,মোট তাস ৫২ লাল রানী ২ তাই সম্ভাবনা ২/৫২ = ১/২৬।,7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,27,একটি মুদ্রা উল্টানোর নমুনা স্থান কী?,{মাথা  লেজ},"{মাথা	 মাথা}","{লেজ	 লেজ}","{মাথা	 লেজ	 মাথা}",A,নমুনা স্থানে মাথা এবং লেজ দুটি ফলাফল।,2
সম্ভাবনার সাথে জড়িত কিছু ধারণা,28,একটি পাশা নিক্ষেপে মৌলিক সংখ্যা পড়ার সম্ভাবনা কত?,১/২,১/৩,২/৩,১/৬,A,"মৌলিক সংখ্যা: ২,৩, ৫ (৩টি)	তাই সম্ভাবনা ৩/৬ = ১/২।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,29,একটি ব্যাগে ২টি লাল ৩টি নীল এবং ৫টি সবুজ বল আছে। একটি নীল বল তোলার সম্ভাবনা কত?,২/১০,৩/১০,৫/১০,১/১০,B,মোট বল ১০ নীল বল ৩ তাই সম্ভাবনা ৩/১০।,6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,30,একটি ঘটনার সম্ভাবনা ০.৪ হলে  এর পরিপূরক ঘটনার সম্ভাবনা কত?,0.4,0.5,0.6,0.8,C,পরিপূরক ঘটনার সম্ভাবনা = ১ - ০.৪ = ০.৬।,4
সম্ভাবনার সাথে জড়িত কিছু ধারণা,31,একটি পাশা নিক্ষেপে ৬ এর গুণিতক পড়ার সম্ভাবনা কত?,১/৬,২/৬,৩/৬,৪/৬,B,৬ এর গুণিতক: ৬ (১টি) তাই সম্ভাবনা ১/৬।,5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,32,একটি তাসের প্যাকেট থেকে ক্লাবের তাস টানার সম্ভাবনা কত?,১/৪,১/২,১/৩,১/৫,A,"মোট তাস ৫২ ক্লাব ১৩	তাই সম্ভাবনা ১৩/৫২ = ১/৪।",4
সম্ভাবনার সাথে জড়িত কিছু ধারণা,33,একটি মুদ্রা দুইবার উল্টালে অন্তত একটি মাথা পড়ার সম্ভাবনা কত?,১/৪,১/২,৩/৪,১/৮,C,কোনো মাথা না পড়ার সম্ভাবনা ১/৪ তাই অন্তত একটি মাথা ১ - ১/৪ = ৩/৪।,7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,34,একটি বাক্সে ৪টি লাল এবং ৪টি নীল বল আছে। একটি লাল বল তোলার সম্ভাবনা কত?,১/৪,১/২,৩/৮,২/৮,B,মোট বল ৮ লাল বল ৪ তাই সম্ভাবনা ৪/৮ = ১/২।,6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,35,একটি পাশা নিক্ষেপে ৩ এর চেয়ে বেশি সংখ্যা পড়ার সম্ভাবনা কত?,১/২,১/৩,২/৩,১/৬,C,"৩ এর চেয়ে বেশি: ৪,৫ ৬ (৩টি) তাই সম্ভাবনা ৩/৬ = ১/২।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,36,একটি তাসের প্যাকেট থেকে হীরার রাজা টানার সম্ভাবনা কত?,১/১৩,১/২৬,১/৫২,২/৫২,C,"মোট তাস ৫২ হীরার রাজা ১	তাই সম্ভাবনা ১/৫২।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,37,একটি মুদ্রা তিনবার উল্টালে তিনটি লেজ পড়ার সম্ভাবনা কত?,১/৮,2/8,৩/৮,2/2,A,"মোট ফলাফল ৮ তিনটি লেজ ১টি	তাই সম্ভাবনা ১/৮।",8
সম্ভাবনার সাথে জড়িত কিছু ধারণা,38,একটি ব্যাগে ৩টি লাল এবং ৭টি কালো বল আছে। একটি কালো বল তোলার সম্ভাবনা কত?,৩/১০,৭/১০,৪/১০,৫/১০,B,"মোট বল ১০ কালো বল ৭	তাই সম্ভাবনা ৭/১০।",7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,39,একটি পাশা নিক্ষেপে ২ এর গুণিতক পড়ার সম্ভাবনা কত?,১/২,১/৩,২/৩,১/৬,A,"২ এর গুণিতক: ২, ৪,৬ (৩টি)	তাই সম্ভাবনা ৩/৬ = ১/২।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,40,একটি তাসের প্যাকেট থেকে মুখের তাস টানার সম্ভাবনা কত?,  3/13 ,2/4,১/৫২,1/13,A,"মুখের তাস ১২ (রাজা  রানী	গুলাম))	তাই সম্ভাবনা ১২/৫২ = ৩/১৩।",8
সম্ভাবনার সাথে জড়িত কিছু ধারণা,41,একটি মুদ্রা উল্টানোর সময় মাথা বা লেজ পড়ার সম্ভাবনা কত?,0,১/২,1,১/৪,C,এটি নিশ্চিত ঘটনা তাই সম্ভাবনা ১।,1
সম্ভাবনার সাথে জড়িত কিছু ধারণা,42,"একটি পাশা নিক্ষেপে ১ ,২ বা ৩ পড়ার সম্ভাবনা কত?",১/৩,১/২,২/৩,১/৬,B,"১ ,২ বা ৩ (৩টি)	তাই সম্ভাবনা ৩/৬ = ১/২।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,43,একটি বাক্সে ৬টি সাদা এবং ৪টি লাল বল আছে। একটি লাল বল তোলার সম্ভাবনা কত?,২/৫,৩/৫,৪/১০,৬/১০,A,"মোট বল ১০ লাল বল ৪	তাই সম্ভাবনা ৪/১০ = ২/৫।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,44,একটি তাসের প্যাকেট থেকে এস টানার সম্ভাবনা কত?,১/১৩,১/৪,১/৫২,২/৫২,A,মোট তাস ৫২ এস ৪ তাই সম্ভাবনা ৪/৫২ = ১/১৩।,9
সম্ভাবনার সাথে জড়িত কিছু ধারণা,45,একটি পাশা নিক্ষেপে ৪ এর চেয়ে কম সংখ্যা পড়ার সম্ভাবনা কত?,১/২,১/৩,২/৬,৩/৬,B,"৪ এর চেয়ে কম: ১, ২ ৩ (৩টি)	তাই সম্ভাবনা ৩/৬ = ১/২।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,46,একটি মুদ্রা দুইবার উল্টালে একটি মাথা এবং একটি লেজ পড়ার সম্ভাবনা কত?,১/৪,১/২,৩/৪,১/৮,B,"নমুনা স্থান: {HH ,HT ,TH, TT} HT এবং TH (২টি) তাই সম্ভাবনা ২/৪ = ১/২।",7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,47,একটি ব্যাগে ৫টি লাল এবং ৫টি নীল বল আছে। একটি নীল বল তোলার সম্ভাবনা কত?,১/৪,১/২,৩/১০,৪/১০,B,"মোট বল ১০ নীল বল ৫	তাই সম্ভাবনা ৫/১০ = ১/২।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,48,একটি পাশা নিক্ষেপে ৩ বা ৫ পড়ার সম্ভাবনা কত?,১/৩,১/৬,২/৬,১/২,C,৩ বা ৫ (২টি) তাই সম্ভাবনা ২/৬ = ১/৩।,4
সম্ভাবনার সাথে জড়িত কিছু ধারণা,49,একটি তাসের প্যাকেট থেকে কালো রানী টানার সম্ভাবনা কত?,১/১৩,১/২৬,১/৫২,২/৫২,B,"মোট তাস ৫২ কালো রানী ২	তাই সম্ভাবনা ২/৫২ = ১/২৬।",7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,50,একটি মুদ্রা তিনবার উল্টালে দুটি মাথা পড়ার সম্ভাবনা কত?,2/8,3/8,৫/৮,৭/৮,B,"নমুনা স্থানে দুটি মাথা: HHT  HTH	THH (৩টি)	তাই সম্ভাবনা ৩/৮।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,51,একটি পাশা নিক্ষেপে জোড় এবং মৌলিক সংখ্যা পড়ার সম্ভাবনা কত?,১/৬,১/৩,১/২,২/৩,A,জোড় এবং মৌলিক: ২ (১টি) তাই সম্ভাবনা ১/৬।,6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,52,একটি বাক্সে ২টি লাল ৩টি নীল এবং ৫টি সাদা বল আছে। একটি সাদা বল তোলার সম্ভাবনা কত?,২/১০,৩/১০,৫/১০,১/১০,C,"মোট বল ১০ ,সাদা বল ৫ তাই সম্ভাবনা ৫/১০ = ১/২।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,53,একটি তাসের প্যাকেট থেকে লাল এস টানার সম্ভাবনা কত?,১/১৩,১/২৬,১/৫২,২/৫২,B,"মোট তাস ৫২ লাল এস ২	তাই সম্ভাবনা ২/৫২ = ১/২৬।",7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,54,একটি পাশা নিক্ষেপে ৫ এর গুণিতক পড়ার সম্ভাবনা কত?,১/৬,২/৬,৩/৬,৪/৬,A,৫ এর গুণিতক: ৫ (১টি) তাই সম্ভাবনা ১/৬।,5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,55,একটি মুদ্রা দুইবার উল্টালে কোনো মাথা না পড়ার সম্ভাবনা কত?,১/৪,১/২,৩/৪,১/৮,A,কোনো মাথা না পড়া: TT (১টি) তাই সম্ভাবনা ১/৪।,6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,56,একটি বাক্সে ৪টি সবুজ এবং ৬টি লাল বল আছে। একটি লাল বল তোলার সম্ভাবনা কত?,২/৫,৩/৫,৪/১০,৬/১০,B,"মোট বল ১০ লাল বল ৬	তাই সম্ভাবনা ৬/১০ = ৩/৫।",7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,57,একটি তাসের প্যাকেট থেকে কালো গুলাম টানার সম্ভাবনা কত?,১/১৩,১/২৬,১/৫২,২/৫২,B,মোট তাস ৫২ কালো গুলাম ২ তাই সম্ভাবনা ২/৫২ = ১/২৬।,8
সম্ভাবনার সাথে জড়িত কিছু ধারণা,58,একটি পাশা নিক্ষেপে ৩ এর গুণিতক পড়ার সম্ভাবনা কত?,১/৩,১/৬,২/৬,১/২,A,"৩ এর গুণিতক: ৩ ৬ (২টি)	তাই সম্ভাবনা ২/৬ = ১/৩।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,59,একটি মুদ্রা তিনবার উল্টালে অন্তত দুটি মাথা পড়ার সম্ভাবনা কত?,2/8,৩/৮,4/8,৫/৮,C,"অন্তত দুটি মাথা: HHH  HHT  HTH	THH (৪টি)	তাই সম্ভাবনা ৪/৮ = ১/২।",7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,60,একটি বাক্সে ৩টি লাল এবং ৫টি নীল বল আছে। একটি নীল বল তোলার সম্ভাবনা কত?,৩/৮,৫/৮,১/৮,২/৮,B,"মোট বল ৮ নীল বল ৫	তাই সম্ভাবনা ৫/৮।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,61,একটি তাসের প্যাকেট থেকে হৃদয় বা হীরা টানার সম্ভাবনা কত?,১/৪,১/২,১/৩,১/৫,B,"মোট তাস ৫২ হৃদয় বা হীরা ২৬	তাই সম্ভাবনা ২৬/৫২ = ১/২।",7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,62,একটি পাশা নিক্ষেপে ১ বা ৬ পড়ার সম্ভাবনা কত?,১/৩,১/৬,২/৬,১/২,A,১ বা ৬ (২টি) তাই সম্ভাবনা ২/৬ = ১/৩।,4
সম্ভাবনার সাথে জড়িত কিছু ধারণা,63,একটি বাক্সে ৪টি সাদা এবং ৬টি কালো বল আছে। একটি সাদা বল তোলার সম্ভাবনা কত?,২/৫,৩/৫,৪/১০,৬/১০,A,"মোট বল ১০ সাদা বল ৪	তাই সম্ভাবনা ৪/১০ = ২/৫।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,64,একটি তাসের প্যাকেট থেকে ক্লাবের রাজা টানার সম্ভাবনা কত?,১/১৩,১/২৬,১/৫২,২/৫২,C,"মোট তাস ৫২ ক্লাবের রাজা ১	তাই সম্ভাবনা ১/৫২।",7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,65,একটি পাশা নিক্ষেপে ২ এর চেয়ে বেশি সংখ্যা পড়ার সম্ভাবনা কত?,১/৩,১/২,২/৩,৪/৬,D,"২ এর চেয়ে বেশি: ৩, ৪,৫,৬ (৪টি)	তাই সম্ভাবনা ৪/৬ = ২/৩।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,66,একটি মুদ্রা তিনবার উল্টালে কোনো লেজ না পড়ার সম্ভাবনা কত?,১/৮,৩/৮,৫/৮,১/৪,A,কোনো লেজ না পড়া: HHH (১টি) তাই সম্ভাবনা ১/৮।,7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,67,একটি বাক্সে ৫টি লাল এবং ৩টি নীল বল আছে। একটি লাল বল তোলার সম্ভাবনা কত?,৩/৮,৫/৮,১/৮,২/৮,B,"মোট বল ৮ লাল বল ৫	তাই সম্ভাবনা ৫/৮।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,68,একটি তাসের প্যাকেট থেকে হৃদয়ের এস টানার সম্ভাবনা কত?,১/১৩,১/২৬,১/৫২,২/৫২,C,"মোট তাস ৫২ হৃদয়ের এস ১	তাই সম্ভাবনা ১/৫২।",7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,69,একটি পাশা নিক্ষেপে ৪ বা তার বেশি সংখ্যা পড়ার সম্ভাবনা কত?,১/৩,১/২,২/৩,১/৬,B,"৪ বা তার বেশি: ৪, ৫ ৬ (৩টি) তাই সম্ভাবনা ৩/৬ = ১/২।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,70,একটি মুদ্রা দুইবার উল্টালে দুটি লেজ পড়ার সম্ভাবনা কত?,১/৪,2/2,3/8,১/৮,A,দুটি লেজ: TT (১টি) তাই সম্ভাবনা ১/৪।,6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,71,একটি বাক্সে ৩টি সবুজ এবং ৭টি লাল বল আছে। একটি সবুজ বল তোলার সম্ভাবনা কত?,৩/১০,৭/১০,৪/১০,৫/১০,A,"মোট বল ১০ সবুজ বল ৩	তাই সম্ভাবনা ৩/১০।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,72,একটি তাসের প্যাকেট থেকে ক্লাব বা কোদাল টানার সম্ভাবনা কত?,১/৪,১/২,১/৩,১/৫,B,"মোট তাস ৫২ ক্লাব বা কোদাল ২৬	তাই সম্ভাবনা ২৬/৫২ = ১/২।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,73,একটি পাশা নিক্ষেপে ৫ বা তার কম সংখ্যা পড়ার সম্ভাবনা কত?,১/৩,১/২,২/৩,৫/৬,D,"৫ বা তার কম:  ১,২,৩,৪ ৫ (৫টি)	তাই সম্ভাবনা ৫/৬।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,74,একটি মুদ্রা তিনবার উল্টালে একটি মাথা পড়ার সম্ভাবনা কত?,2/8,৩/৮,৫/৮,১/৪,B,"একটি মাথা: HTT  THT	TTH (৩টি)	তাই সম্ভাবনা ৩/৮।",7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,75,একটি বাক্সে ৪টি লাল এবং ২টি নীল বল আছে। একটি নীল বল তোলার সম্ভাবনা কত?,১/৩,১/২,২/৬,৪/৬,A,"মোট বল ৬ নীল বল ২	তাই সম্ভাবনা ২/৬ = ১/৩।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,76,একটি তাসের প্যাকেট থেকে হীরার গুলি টানার সম্ভাবনা কত?,১/১৩,১/২৬,১/৫২,২/৫২,C,"মোট তাস ৫২ হীরার গুলি ১	তাই সম্ভাবনা ১/৫২।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,77,একটি পাশা নিক্ষেপে জোড় এবং ৩ এর গুণিতক পড়ার সম্ভাবনা কত?,১/৬,১/৩,১/২,২/৬,A,জোড় এবং ৩ এর গুণিতক: ৬ (১টি) তাই সম্ভাবনা ১/৬।,7
সম্ভাবনার সাথে জড়িত কিছু ধারণা,78,একটি বাক্সে ৫টি সবুজ এবং ৫টি লাল বল আছে। একটি সবুজ বল তোলার সম্ভাবনা কত?,১/৪,১/২,৩/১০,৪/১০,B,"মোট বল ১০ সবুজ বল ৫	তাই সম্ভাবনা ৫/১০ = ১/২।",6
সম্ভাবনার সাথে জড়িত কিছু ধারণা,79,একটি তাসের প্যাকেট থেকে লাল বা কালো তাস টানার সম্ভাবনা কত?,১/৪,১/২,1,১/৫,C,সকল তাস হয় লাল বা কালো তাই সম্ভাবনা ১।,5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,80,একটি পাশা নিক্ষেপে ৩ বা তার কম সংখ্যা পড়ার সম্ভাবনা কত?,১/৩,১/২,২/৬,৩/৬,B,"৩ বা তার কম: ১,২,৩ (৩টি)	তাই সম্ভাবনা ৩/৬ = ১/২।",5
সম্ভাবনার সাথে জড়িত কিছু ধারণা,81,একটি বাক্সে ৪টি লাল ৩টি নীল এবং ৫টি সবুজ বল রয়েছে। একটি বল টানলে নীল বল হওয়ার সম্ভাবনা কত?,3⁄10,1⁄4,1⁄3,3⁄12,B,"১২টির মধ্যে ৩টি নীল বল আছে, তাই সম্ভাবনা = ৩⁄১২ = ১⁄৪.",9
সম্ভাবনার সাথে জড়িত কিছু ধারণা,82,একটি সংখ্যা ১ থেকে ৫০ এর মধ্যে যেকোনো একটি এলোমেলোভাবে বাছাই করা হলো। সংখ্যাটি মৌলিক সংখ্যা হওয়ার সম্ভাবনা কত?,14⁄50,15⁄50,12⁄50,18⁄50,B,১ থেকে ৫০ এর মধ্যে ১৫টি মৌলিক সংখ্যা আছে। সুতরাং সম্ভাবনা = ১৫⁄৫০,10
সম্ভাবনার সাথে জড়িত কিছু ধারণা,83,একটি ছক্কায় একবার নিক্ষেপ করলে বিজোড় সংখ্যা আসার সম্ভাবনা কত?,½,⅔,⅓,¼,B,"বিজোড় সংখ্যা: ১,৩ ৫ = ৩টি; মোট ৬টি সংখ্যা; সুতরাং সম্ভাবনা = ৩⁄৬ = ½",3
সম্ভাবনার সাথে জড়িত কিছু ধারণা,84,দুটি ছক্কা একসাথে নিক্ষেপ করলে যোগফল ৭ হওয়ার সম্ভাবনা কত?,1⁄6,2⁄9,1⁄12,1⁄8,A,সম্ভাব্য ৬×৬ = ৩৬টি ফলাফল; যোগফল ৭ এর ৬টি উপায় → ৬⁄৩৬ = ১⁄৬,9
সম্ভাবনার সাথে জড়িত কিছু ধারণা,85,"একটি শব্দের অক্ষর এলোমেলোভাবে সাজানো হলে ""STATISTICS"" শব্দটির দুটি T পাশাপাশি থাকার সম্ভাবনা কত?",2⁄45,1⁄90,1⁄30,1⁄15,B,পুনরাবৃত্ত অক্ষরসহ সম্ভাবনার জটিল গাণিতিক বিশ্লেষণ প্রয়োজন — ফলাফল ১⁄৯০,10
সম্ভাবনার সাথে জড়িত কিছু ধারণা,86,একটি মুদ্রা ৫ বার উল্টালে সবগুলোতেই মাথা পড়ার সম্ভাবনা কত?,1⁄16,1⁄32,1⁄64,1⁄8,C,প্রত্যেকবার মাথা পড়ার সম্ভাবনা ½; ৫ বার হলে = (½)^5 = 1⁄32,10
সম্ভাবনার সাথে জড়িত কিছু ধারণা,87,একটি কার্ড টানলে সেটি স্পেড (♠) হওয়ার সম্ভাবনা কত?,1⁄4,1⁄2,1⁄13,1⁄3,A,৪টি স্যুটে সমানভাবে ১৩টি করে কার্ড; সুতরাং স্পেড হওয়ার সম্ভাবনা = ১৩⁄৫২ = ১⁄৪,9
